session,dropout,day,game,round,gameId,player,action,opp_action,payoff,total_time,time
1pm,FALSE,1,1,4,doKQRC6q3W73b5Z6W,YAmgmnEPMJaKZXNtk,0,0,3,55.742,1.02
1pm,TRUE,1,1,4,doKQRC6q3W73b5Z6W,Y5FKzx7Pvme9GpeF7,0,0,3,55.525,0.803
1pm,FALSE,1,1,5,doKQRC6q3W73b5Z6W,YAmgmnEPMJaKZXNtk,1,0,1,63.342,3.502
1pm,TRUE,1,1,5,doKQRC6q3W73b5Z6W,Y5FKzx7Pvme9GpeF7,0,1,7,69.698,9.858
1pm,TRUE,1,1,6,doKQRC6q3W73b5Z6W,Y5FKzx7Pvme9GpeF7,1,0,1,75.426,3.1
1pm,FALSE,1,1,6,doKQRC6q3W73b5Z6W,YAmgmnEPMJaKZXNtk,0,1,7,74.7,2.374
1pm,FALSE,1,1,7,doKQRC6q3W73b5Z6W,YAmgmnEPMJaKZXNtk,0,1,7,79.695,3.788
1pm,TRUE,1,1,7,doKQRC6q3W73b5Z6W,Y5FKzx7Pvme9GpeF7,1,0,1,78.346,2.439
1pm,FALSE,1,1,8,doKQRC6q3W73b5Z6W,YAmgmnEPMJaKZXNtk,0,0,3,82.498,1.666
1pm,TRUE,1,1,8,doKQRC6q3W73b5Z6W,Y5FKzx7Pvme9GpeF7,0,0,3,82.296,1.464
1pm,TRUE,1,1,9,doKQRC6q3W73b5Z6W,Y5FKzx7Pvme9GpeF7,0,0,3,84.963,2.317
1pm,FALSE,1,1,9,doKQRC6q3W73b5Z6W,YAmgmnEPMJaKZXNtk,0,0,3,84.957,2.311
1pm,FALSE,1,1,10,doKQRC6q3W73b5Z6W,YAmgmnEPMJaKZXNtk,0,0,3,87.723,1.792
1pm,TRUE,1,1,10,doKQRC6q3W73b5Z6W,Y5FKzx7Pvme9GpeF7,0,0,3,87.231,1.3
1pm,FALSE,1,1,1,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,8.457,8.476
1pm,FALSE,1,1,1,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,18.191,18.21
1pm,FALSE,1,1,2,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,23.35,4.778
1pm,FALSE,1,1,2,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,28.643,10.071
1pm,FALSE,1,1,3,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,33.633,2.585
1pm,FALSE,1,1,3,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,33.178,2.13
1pm,FALSE,1,1,4,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,38.213,2.75
1pm,FALSE,1,1,4,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,36.577,1.114
1pm,FALSE,1,1,5,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,44.785,3.676
1pm,FALSE,1,1,5,HgXLQC3kDNizR3PkH,RzxX5wdD5d7CAaYjT,1,1,5,44.798,3.689
1pm,FALSE,1,1,6,HgXLQC3kDNizR3PkH,3wby46KA2teqmGccW,1,1,5,49.06,1.782
